weapon,distance,direction,zcr,rms,spectral_centroid,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,dataset
m24,50m,left,0.09092694863505747,0.0048584044,1770.7217116202105,-501.15323,122.46911,-18.092438,20.187311,0.03976875,13.371698,2.4761899,-0.7104784,-3.8398082,-1.7285142,-5.000255,-0.84380716,-2.8947392,gun_sound_train
p90,0m,center,0.08171134159482758,0.025316842,2559.801858719999,-293.96713,81.02912,0.7525277,16.33023,13.469006,11.505842,8.488076,8.647043,4.283702,8.707755,4.472899,7.207945,2.814478,gun_sound_train
m4,600m,back,0.06701800466954023,0.011758126,1314.4602066935001,-462.8568,97.157585,29.651068,-6.34432,-10.357766,-0.39660475,-1.1301274,-3.484975,-2.949631,-1.1988947,-1.1490524,-0.53090185,-1.1339489,gun_sound_train
ak,600m,back,0.05356501436781609,0.00062652375,1202.001349686522,-625.9817,163.0043,-9.326426,21.948866,-10.337955,4.8772097,-8.130013,-1.6972086,-9.043589,1.1650375,-5.189502,2.1928015,-4.7366977,gun_sound_train
ak,100m,back,0.12848531788793102,0.06378689,2068.662997428474,-212.74858,80.0986,-25.13939,13.158769,-6.413624,8.207846,1.6359775,5.3068976,0.006944777,4.9539976,-3.692942,1.6366916,-1.9902989,gun_sound_train
ak,100m,right,0.14501953125,0.039759062,2320.7838834682143,-276.8053,77.83789,-21.809944,5.950551,-6.480007,16.53864,4.834989,4.096187,-3.929022,2.2832837,-5.6850333,-4.0791335,-4.2915707,gun_sound_train
m24,600m,back,0.05766769935344827,0.006332034,1085.3992906876504,-494.78058,167.72614,10.515371,0.6020532,5.2704334,1.0034257,2.7257767,-1.8760926,-4.99087,1.1394234,-3.5275218,-4.206911,-4.981595,gun_sound_train
p90,0m,center,0.11912378771551724,0.019792471,2412.8976064755425,-391.16742,93.432526,2.435695,6.343561,4.6410117,2.6449068,0.40907583,-0.06962323,-2.5533803,1.8084624,-0.6683703,4.48339,0.53319114,gun_sound_train
m249,0m,center,0.11346646012931035,0.11510423,2494.8782734019806,-212.86147,65.672,20.316145,12.24259,-1.2614399,2.8281083,-2.0953307,3.2510307,-4.759684,-0.9925946,-3.6623678,1.6334032,-0.89366174,gun_sound_train
dp,0m,center,0.13236911817528735,0.055689238,2591.464781859436,-218.96045,94.28684,-0.43336838,14.945187,-4.38812,8.756883,-3.2976522,6.189721,-3.713416,2.0883722,-2.5533273,3.1342037,-1.0487553,gun_sound_train
m24,50m,back,0.07048087284482758,0.005609254,1381.5942589703395,-544.3236,123.4142,13.708917,0.15689276,0.7971545,-4.025898,-3.1153193,-2.520798,-3.006879,2.5359824,1.0394686,1.2014648,-0.47557124,gun_sound_train
nogun,0m,center,0.01891388290229885,0.010994592,1767.634229187713,-420.79294,98.893036,14.035108,24.487562,-8.942004,14.447381,-8.335527,13.964517,-3.2357564,9.8127985,-0.29004174,8.442312,1.3281068,gun_sound_train
ak,400m,back,0.13009047234195403,0.011046554,2176.016972101517,-387.4051,111.622475,-13.535597,6.92337,-8.07444,9.272321,-0.28433052,5.8002295,0.36513767,0.80904406,0.29915673,4.209427,-1.5531662,gun_sound_train
ak,100m,front,0.1756128771551724,0.049535424,2482.9882916759866,-207.26468,76.45854,-54.338165,10.23346,-6.6075315,5.722726,-0.64993495,1.0588759,2.409269,5.5859103,-4.4567614,1.665569,-1.4403831,gun_sound_train
ak,100m,back,0.1506768588362069,0.059471186,2280.385116241861,-169.60413,98.67137,-65.967285,4.3107305,-11.198137,6.2027574,1.0588893,3.9761984,-3.4428318,1.3080732,-5.719631,0.038988978,-2.8624494,gun_sound_train
m24,200m,left,0.07614942528735633,0.0008151844,1265.7092927604058,-590.6877,172.59848,-37.840424,3.9831483,-1.413338,14.892405,-4.5869555,-5.304945,-9.228007,2.1635015,-7.026665,-0.15622596,-2.915173,gun_sound_train
m24,50m,right,0.05422166846264368,0.0006032145,1211.97074693714,-629.75806,160.75298,-9.988014,23.794546,-8.016853,6.719183,-8.885889,-4.294532,-11.669571,-0.63066953,-6.5303044,2.3063977,-4.0677085,gun_sound_train
m4,200m,right,0.1452215786637931,0.036267336,2205.65281998354,-260.78418,98.41785,-54.76149,-4.6806936,-7.935413,12.937741,7.14541,0.99913996,-3.7482271,2.2261465,-7.328046,-2.210443,-1.2640797,gun_sound_train
aug,0m,center,0.10079920977011494,0.12026357,2175.4710143197285,-245.88062,64.055435,27.260534,15.200934,-0.56148577,1.9163574,-2.214231,0.78678805,-4.5263133,-1.2465748,-1.9275401,2.3899274,-1.2759326,gun_sound_train
m4,0m,center,0.09571434985632184,0.09882241,2069.5731509740335,-243.60898,77.72114,18.511694,14.5952635,4.4352846,5.0714717,2.3040147,3.576538,4.356674,6.2345862,4.1578684,3.9186616,2.6651073,gun_sound_train
sks,0m,center,0.10664735991379311,0.039415304,2297.918084720083,-371.1545,71.842995,18.75938,10.153638,-2.514606,2.9763777,-4.3362303,-1.6679752,-3.0353277,0.08250012,-0.52713966,1.478269,0.976598,gun_sound_train
vss,0m,center,0.09807156968390805,0.04740792,2304.463295246062,-364.38126,58.04797,19.027515,11.511043,2.4658177,6.1670165,0.98586386,1.6660978,0.1670136,0.44263318,-1.0725123,1.2676984,-1.0155475,gun_sound_train
m24,400m,back,0.07301207794540229,0.0042153196,1467.5653440195322,-550.60876,109.43019,12.463587,-1.5868504,7.1755695,2.9508972,-4.695938,-6.725584,-6.1600385,-3.1238112,-2.6528053,-1.5531055,-1.4920832,gun_sound_train
awm,0m,center,0.07618871228448276,0.046832472,1830.6192056600757,-364.05838,69.280174,11.037896,14.767149,-0.50045425,4.342664,-1.7271751,0.27279374,-1.7802984,1.9212341,-0.33092272,1.5990099,-0.18136494,gun_sound_train
m4,600m,back,0.11083423132183907,0.0049010334,1853.9813844437153,-481.00867,134.88544,-3.7611108,3.6456842,-5.45227,0.15636666,-0.9250537,-0.36420834,-3.2662058,0.3204992,-1.8298417,0.87171084,-1.8447663,gun_sound_train
m4,600m,left,0.05459770114942529,0.00063584396,1194.699539547449,-626.5576,162.35918,-9.08484,22.884573,-9.094924,5.8529525,-8.714219,-3.9202273,-11.649636,-1.740588,-7.6321397,1.7017449,-4.709691,gun_sound_train
qbu,0m,center,0.09345254130747127,0.08212579,2336.6108856164533,-188.44958,96.487656,-5.0944114,16.832361,-0.3933028,7.117744,0.29269254,6.6028666,1.8975168,6.996587,2.606057,4.7182155,1.4726789,gun_sound_train
nogun,0m,center,0.007599227729885058,0.01020159,787.4486944459552,-539.6558,132.83148,11.732819,22.802902,-1.6745758,13.77571,-2.1619287,11.532719,2.788566,11.360315,5.1682577,9.351498,4.171738,gun_sound_train
m4,200m,left,0.16089147808908047,0.045323968,2400.017538184527,-267.99014,75.05632,-28.837252,6.302905,-14.191043,9.350538,7.1636577,4.6103864,-3.0367248,1.5910299,-5.6196494,-0.09428008,-3.1270716,gun_sound_train
m24,100m,left,0.05365481321839081,0.0007400162,1121.8877663438686,-615.30334,171.6449,-9.127978,18.050098,-12.168853,3.364549,-8.465375,-0.25057203,-5.105123,4.4704785,-2.8757896,2.7136884,-5.9781675,gun_sound_train
sks,0m,center,0.10696726831896551,0.072850764,2373.456294315896,-258.44012,67.21441,17.850727,16.223253,0.6538636,6.5238633,-1.1475171,3.8592312,0.9887805,2.2629356,0.04533126,1.4219738,-0.5922155,gun_sound_train
m4,200m,right,0.09428318067528736,0.03010709,1753.0654355880108,-380.2258,61.377438,1.2057536,7.2964897,-2.347703,2.479951,3.132151,1.5307379,-4.973711,-0.2604891,-2.4979217,0.28321373,-0.39877814,gun_sound_train
m24,600m,right,0.06071524784482758,0.0008060469,1147.905755074934,-602.12897,175.92491,-21.308283,8.331755,-8.561164,9.5174265,-7.1085696,-2.256355,-5.7347975,3.7523396,-3.9301133,1.988784,-5.168938,gun_sound_train
slr,0m,center,0.1185962194683908,0.088697016,2579.1633164048962,-196.65831,88.33116,10.444085,18.998508,4.382846,14.242774,1.5733311,8.186957,-1.1649337,3.3307505,-1.3488277,2.7194552,-2.3660226,gun_sound_train
ak,400m,right,0.09730266702586207,0.012376517,1586.6104826593946,-311.09702,159.09732,-54.817337,21.440804,-17.264088,15.692398,-7.9330873,8.5809765,-7.878126,7.3326473,-10.528059,0.6072425,-11.343064,gun_sound_train
pp,0m,center,0.10472229705459771,0.08236024,2841.01256736468,-202.61119,73.0604,1.921124,18.275434,-2.222966,11.193562,-1.2826111,7.993556,1.7079619,4.558356,1.052805,4.846081,2.373904,gun_sound_train
m24,600m,front,0.057718211206896554,0.00080433796,1146.1540122538665,-603.29865,174.29704,-17.451916,12.234709,-7.321718,8.531073,-7.674028,-1.0811719,-4.3210163,5.3862705,-3.0552063,2.733213,-4.3831964,gun_sound_train
slr,0m,center,0.12931034482758622,0.08987728,2857.5999523691908,-192.90201,75.036,7.7511835,17.499218,-0.027739227,13.841317,-1.1360618,8.967969,-1.122783,4.5912323,0.69555724,4.874702,-0.336864,gun_sound_train
ak,100m,back,0.16131802262931033,0.06677599,2355.8320180937953,-120.79949,94.68908,-68.91796,5.5469503,-14.99977,9.936198,0.1435637,5.793423,-2.5888023,5.252501,-8.405908,0.2911025,-3.247977,gun_sound_train
m4,400m,front,0.11006532866379311,0.011980723,1739.9989211054474,-443.89148,129.69463,-12.74592,-2.5682845,-7.1573453,-2.658214,-2.9034896,-2.9580545,-2.1451752,4.2707233,-2.1187432,0.6581184,0.67144656,gun_sound_train
m4,100m,front,0.20945581896551724,0.13075191,2932.32473586706,-23.247013,67.901726,-32.696163,33.473583,-9.634507,12.097724,0.32436675,6.2169485,4.6393447,7.7874403,0.43014824,5.997704,0.6000313,gun_sound_train
m4,100m,left,0.1841942798132184,0.050045814,2850.002706195495,-191.36517,66.34532,-44.56928,16.32374,-11.429731,25.60245,7.643075,9.106227,-2.5324478,4.2564225,-7.297225,-0.44620973,-3.199201,gun_sound_train
m4,200m,back,0.07515041307471264,0.02454707,1300.6247984209733,-400.2547,128.24783,17.382933,5.5143614,-4.6724644,2.66322,-0.4508534,0.3789884,-1.1306757,0.6229814,-3.1481404,-0.7294261,-3.2589922,gun_sound_train
vec,0m,center,0.06737158764367816,0.07614178,2051.5502953771284,-227.21758,94.82591,2.4996514,13.890795,-8.761848,8.922573,-4.1175504,8.572013,1.4681877,4.8728194,3.9200642,5.851577,3.4614005,gun_sound_train
mk,0m,center,0.04530352011494253,0.027572092,1582.751068251542,-333.57895,129.33293,-2.9980118,10.994561,-12.9263115,10.531187,-1.0906856,10.243457,-2.858156,6.8733582,1.6668798,5.8185577,1.2563745,gun_sound_train
m4,200m,left,0.13655598958333334,0.019085787,1894.944423432831,-338.5606,112.2839,-63.959045,-10.423295,-7.608512,4.6521826,4.2580895,-1.9558924,-3.7213068,-6.6356764,-9.364164,-2.5556498,-4.8956256,gun_sound_train
ak,200m,back,0.10009765625,0.017336698,1292.9348114199074,-379.1956,193.54698,-87.229904,-20.291506,-9.50605,-7.427197,2.7999914,-7.6582,-8.080029,-6.290565,-9.460035,-8.503758,-4.1727204,gun_sound_train
m24,100m,left,0.05534415409482758,0.00062341266,1200.7918979343322,-626.29834,162.92204,-9.525018,22.61027,-9.742638,5.1145263,-8.255341,-2.0772069,-9.045679,1.493675,-4.9966426,2.4770095,-4.7017317,gun_sound_train
ak,200m,front,0.1290802352729885,0.031916223,1960.4977301931494,-347.66095,82.67861,-16.59496,11.714717,-8.258324,0.4749351,-4.1273875,-3.1463504,-3.6423688,-0.6241423,-5.4440117,-2.2881992,-4.212516,gun_sound_train
ak,400m,left,0.055871722341954026,0.0011599798,1276.2121656412078,-604.1471,152.30606,-4.3613853,18.901869,-6.109112,2.7096329,-3.8612835,-5.5613284,-4.633508,-2.0596097,-1.5173188,-0.7488751,-1.6227522,gun_sound_train
pp,0m,center,0.09275660021551724,0.072573446,2659.898066809272,-217.30865,75.552956,3.4742186,18.92073,-2.2120636,9.761226,-0.25570676,7.5942044,3.9019797,4.859874,1.1027795,5.2330914,3.343124,gun_sound_train
m24,100m,front,0.05408135775862069,0.00061491044,1202.300420454581,-629.06006,161.26102,-9.305761,24.144049,-7.6433907,6.184591,-9.550322,-4.29297,-11.599257,-0.2900205,-6.447252,2.2686646,-4.308965,gun_sound_train
ak,50m,back,0.12058863146551724,0.07261615,2078.066982085056,-183.42754,99.34623,-20.98756,10.071863,-1.5560083,12.19425,9.502454,6.2147946,1.4869267,5.2097087,-6.709867,2.232626,-4.148556,gun_sound_train
nogun,0m,center,0.007548715876436782,0.010843536,950.2270177631325,-520.4288,117.835846,12.157891,25.726305,-6.0895076,16.064621,-3.68252,13.353771,0.9451929,11.85989,4.776539,10.911919,3.9713233,gun_sound_train
slr,0m,center,0.09582659841954023,0.059289303,2457.063622775563,-258.75485,87.8225,9.3442955,19.513414,-0.008452098,12.46147,-0.52823114,9.564402,-0.216922,4.9606066,0.53828025,3.1863813,-0.9076509,gun_sound_train
ak,50m,left,0.14161278735632185,0.05877131,2400.3302561182522,-226.68668,75.52279,-14.691447,6.657331,-8.409539,21.347542,11.879778,10.90027,-4.213781,2.9572492,-5.6904216,0.61193556,-3.412947,gun_sound_train
pp,0m,center,0.08557830459770115,0.052160423,2357.8891822653413,-274.08453,83.12261,-2.3546379,14.736944,-0.7649903,8.6163845,0.82715607,9.508934,4.814699,5.447716,3.3408656,4.587285,2.7191627,gun_sound_train
m4,50m,back,0.1351360452586207,0.06849901,2393.8114174152483,-240.37227,61.366737,-4.144607,17.277449,-2.058971,6.1678395,2.6804276,4.177954,-1.7900916,2.2651172,-4.0195622,2.7608335,-1.9020642,gun_sound_train
ak,600m,right,0.1098913433908046,0.008802446,2378.503710945732,-407.25003,94.43135,9.21003,28.792416,-0.07015914,17.598164,0.18359259,7.2342234,-0.99014616,4.319932,-3.516129,3.0027032,-3.849046,gun_sound_train
qbu,0m,center,0.09387908584770115,0.07156354,2033.0603247148115,-302.1789,71.63242,18.774555,10.810418,-4.0958767,0.55549586,-3.4603271,0.4271011,-1.6157467,1.5947105,-0.8195838,1.5584357,-1.5223299,gun_sound_train
ak,600m,back,0.16780598958333334,0.0185916,2996.559831114483,-329.24997,70.14828,3.3412714,15.286285,-4.200874,10.942743,-1.4097772,7.3998356,-2.4915028,5.1358423,-0.14572665,2.4056683,-3.2943935,gun_sound_train
m24,50m,right,0.05999685704022988,0.011688309,1265.283883866532,-506.2958,84.25654,32.073757,1.8210272,-5.059201,-1.1392784,-1.712718,-3.997627,-2.7650683,0.8222624,1.4764766,-0.1622722,-2.1543655,gun_sound_train
m24,50m,front,0.029723419540229886,0.002272789,707.915175145954,-593.0282,195.71562,9.457568,28.953415,-3.772818,9.156809,-3.9318585,-0.97134084,-8.281382,-1.8754559,-9.403475,-3.9775243,-9.810279,gun_sound_train
m24,100m,right,0.05868354885057471,0.0007823925,1150.8833274873773,-605.63214,173.37498,-17.470778,12.797473,-8.386625,6.638773,-8.917844,-1.1364844,-4.9767313,4.6022363,-3.9769154,2.1423078,-5.453472,gun_sound_train
m24,0m,center,0.14132655352011494,0.037416656,2669.2875563734096,-221.4906,87.4194,-4.962556,15.284974,-3.9510872,10.994479,-4.23583,7.379205,-2.5563989,5.0309906,-2.794517,2.1507525,-2.2904372,gun_sound_train
ak,400m,front,0.0687915319683908,0.00070847804,1352.7696731969074,-594.89545,158.02052,-18.82222,9.052518,-16.905615,9.720963,-3.6887395,2.8064644,-6.9447455,-3.5595024,-3.174052,3.4919574,-6.113391,gun_sound_train
ak,400m,right,0.09146012931034483,0.01581867,1645.132916362156,-453.15704,59.08339,19.094133,15.546563,-3.8521051,-0.90806,0.21515986,-0.8598882,-1.6541845,1.3013366,-0.26537758,-0.2508193,-1.3101577,gun_sound_train
m4,400m,left,0.1572321749281609,0.010224924,2089.560804756653,-413.183,108.15146,-46.34474,0.9265099,2.4937263,9.386636,0.019374672,1.3779557,0.5692407,-0.63588643,-6.844932,0.8659326,-2.2268674,gun_sound_train
m4,200m,left,0.08709366020114942,0.01879044,1579.29662395218,-425.363,128.57518,-8.546818,-5.5428233,-9.100481,5.2049837,2.429971,1.5544522,-5.33036,-1.8658541,-5.139759,-2.6335633,-4.236228,gun_sound_train
m4,400m,right,0.09643835308908046,0.020736312,1638.985116734402,-393.38843,82.7681,-1.220645,-13.947583,-8.007087,10.699549,6.732685,-1.0458145,-4.5484886,-2.3755398,-4.4422026,-4.080782,-2.4031332,gun_sound_train
m24,200m,front,0.05835802801724138,0.0017089065,1378.9590311953962,-591.65155,135.8357,3.5875943,13.2583065,2.8303537,-0.094322115,0.014910764,-8.165842,-5.4341383,-4.077183,-3.4668975,-0.015614345,-2.956845,gun_sound_train
m24,600m,front,0.0598284841954023,0.000775721,1142.0957207004717,-605.4433,175.57794,-17.114649,7.7083206,-11.994784,8.065986,-4.2586684,-0.44650847,-7.07227,4.0881834,-1.8424847,3.4040344,-4.6948595,gun_sound_train
deagle,0m,center,0.12338362068965517,0.0984558,2755.277325447414,-162.58421,81.77536,-0.7256164,20.442001,-6.7101827,13.942759,-2.5760665,12.353864,-1.2746409,7.3279905,-1.3232791,4.2679853,0.69623196,gun_sound_train
sks,0m,center,0.10025480423850575,0.09212459,2528.395736305212,-194.631,76.16432,4.0747685,18.094404,2.542928,12.524415,0.10738434,9.179743,2.3659823,5.760617,2.8854067,5.445862,4.540237,gun_sound_train
m4,200m,front,0.09682561063218391,0.04077557,1581.6075108302587,-302.40698,115.77034,-17.358807,2.337837,-8.959645,3.631393,-1.7151276,-0.35566598,-1.0097804,2.166975,-2.2664864,0.8471534,-2.7547212,gun_sound_train
tomy,0m,center,0.10961633441091954,0.13246301,2268.2176111975323,-232.43549,66.947464,18.277609,10.584737,-2.8078802,4.062813,-3.6516442,2.8087149,-1.8138005,0.008399667,-3.2348788,2.3073926,0.14637451,gun_sound_train
m4,50m,right,0.08115571120689655,0.0016101487,1172.397187399883,-549.4351,191.85507,-45.681942,-19.233284,-15.041219,3.2597582,-3.876001,-0.8959254,-8.157457,4.137791,-0.4555201,2.470257,-3.2232568,gun_sound_train
ak,200m,right,0.12256420617816093,0.023745824,1958.2018460138183,-363.51913,102.452126,-16.854324,3.6369534,-6.5243535,6.2551656,1.0820689,1.8892703,-5.1016483,1.2830273,-3.849755,-2.4550908,-4.34291,gun_sound_train
m24,100m,back,0.033652119252873564,0.0014904239,828.5731515765868,-607.34344,184.61316,4.806594,28.119238,-4.44626,8.935424,-4.398445,-1.4520656,-8.595798,-0.5093515,-6.972653,-0.90901595,-8.623096,gun_sound_train
sks,0m,center,0.09735317887931035,0.07455247,2616.894285479236,-179.31316,80.487,2.1617322,18.20345,1.8226655,13.113323,-1.3695209,9.1111,1.721664,6.592169,0.08767959,5.403463,1.8419152,gun_sound_train
nogun,0m,center,0.011679463002873564,0.013130917,1282.76194969853,-454.379,109.09733,20.503767,29.853712,0.8069778,18.383442,-0.12303317,13.028996,1.0098144,9.4196415,2.428479,7.458673,2.1974535,gun_sound_train
ak,100m,left,0.17683077406609196,0.039205536,2602.258996239562,-183.15344,81.13041,-68.04849,10.902308,-17.374731,21.188059,7.548617,8.029505,-7.376833,2.6541982,-7.5137215,-4.0031757,-5.365729,gun_sound_train
deagle,0m,center,0.051595052083333336,0.09060188,1628.025485939181,-291.91605,78.69863,21.984386,16.382109,2.9757388,12.875861,6.247168,10.872946,5.4362893,8.957562,5.9309454,7.6850343,5.0311575,gun_sound_train
ak,100m,left,0.16528039691091953,0.05489231,2490.6975028230627,-193.07704,82.58473,-59.317356,10.617653,-8.645963,18.477207,8.881433,5.1540694,-6.419158,2.2798095,-6.0320063,-4.4191694,-2.926906,gun_sound_train
m4,600m,left,0.0928576239224138,0.0036504467,1590.6586656881123,-521.67596,148.39041,-10.94831,6.6884823,-11.958398,7.3531194,-0.4528375,2.7771351,-4.3199153,-0.4741741,-4.1491055,-1.4344463,-4.6951814,gun_sound_train
m4,50m,front,0.09102797234195402,0.024354214,1706.78878863208,-425.5669,89.87994,17.474009,-10.191431,-13.78078,1.1128583,2.2698495,-1.8276638,-2.0829365,-0.8756517,0.90636796,1.7115282,0.5048303,gun_sound_train
scar,0m,center,0.03760326867816092,0.03726942,1044.2715471301037,-345.23825,158.70326,13.965729,-15.725923,5.205422,7.923197,1.9189245,6.3649483,5.0393643,3.255022,4.634975,2.896744,1.0022297,gun_sound_train
ak,400m,back,0.06464955998563218,0.0055303704,1316.4953095529813,-547.6681,131.35612,12.3820095,1.3680007,1.7570555,-4.7045884,-1.6883273,-1.1286919,-2.4767826,3.6888466,1.6175641,0.1412146,-1.7991445,gun_sound_train
m24,400m,right,0.1393341415229885,0.008020462,2064.057575350892,-454.30957,93.045044,-16.95791,4.4560304,-7.783866,8.215683,2.83658,4.5034137,-1.0480264,1.5109462,-1.5150248,2.5694966,-1.4187169,gun_sound_train
m4,400m,left,0.11102505387931035,0.011833469,1853.8914478782694,-446.1737,112.42009,-2.0491316,5.0738373,-3.146068,1.2786679,2.906646,2.0685303,-2.0812397,2.830908,-2.007537,1.2674785,-2.4467366,gun_sound_train
scar,0m,center,0.07417385057471264,0.12616491,1899.7515761890431,-208.83838,64.36907,19.300173,17.661873,7.7479005,8.630886,2.7325177,5.356921,0.77667093,3.648523,3.3082783,5.3916097,2.5063255,gun_sound_train
uzi,0m,center,0.05180832435344827,0.03538777,1476.1038105786727,-389.54004,88.86755,23.906857,10.4278555,4.2672586,7.95618,3.4585416,4.644524,3.1673584,6.3373723,4.8486414,6.9904814,5.1684685,gun_sound_train
kar,0m,center,0.11485272988505747,0.027093573,2020.690502388836,-347.9924,107.7081,15.812127,11.059543,0.9385944,8.615001,1.1753572,1.7228591,-0.21266122,1.9133793,-1.6059692,0.13612036,-2.5545697,gun_sound_train
mini,0m,center,0.11645788433908046,0.08554041,2305.160817576298,-270.90747,79.99902,23.268364,3.448735,-5.595794,3.5324545,-1.1159075,0.5447346,-4.729811,0.16776249,-1.191681,0.43394256,0.18679078,gun_sound_train
tomy,0m,center,0.06659146012931035,0.02897993,1516.526939950654,-458.67215,58.529514,30.7283,12.407852,0.020831507,-1.2006348,-3.8773448,-4.038096,-5.2218122,-3.3051884,-2.1654406,-0.007616328,-0.5725647,gun_sound_train
